pvsnr,vsnr,vm,aktiv,spartek,vtr_dau,vtrweg,STORNGRD,gesbeitr,SDANZAHL,SCHAGESA,KOSTGESA,KOSTGEKA,kosten_verw,kosten_prov,plz,alter,SDBEITR5,HSN,KILOMETERSTAND,end_year,end_month,end_day,beg_year,beg_month,beg_day,gfeld_c,ort_id,anr_no,gender_id,plz_id,Customer_beg_year,Electric,car_model
25363036,25363036-007,00 000 1832,1,2,30.0,1,,19.7,0.0,0,0,0,0.28,0.14,24568,43.0,"1,64",900.0,,,,,2025,3,1,70270,337,71295,1,248,2020.0,1,0
24176909,24176909-004,00 000 9943,1,2,455.0,2,,"208,07",0.0,"0,00","0,00","0,00","26,77","25,51",35085,76.0,"238,88",5.0,57.91,,,,2024,1,1,70270,4344,71295,1,4437,2015.0,1,573
26481772,26481772-023,00 000 8142,1,2,455.0,2,,"93,22",0.0,"0,00","0,00","0,00","13,31","12,68",41812,998.0,"118,84",4041.0,,,,,2024,1,1,70269,1982,71299,6,1666,2024.0,1,0
27085345,27085345-001,00 000 1357,1,3,89.0,4,,75.65,0.0,0,0,0,2.31,1.42,68549,38.0,"18,91",35.0,100.0,,,,2025,1,1,70270,5334,71296,2,5539,2025.0,1,1024
96694840,96694840-006,00 000 1357,0,3,0.0,4,,"78,64",0.0,"0,00","0,00","0,00","0,00","0,00",23845,66.0,"0,00",35.0,135.6,2022.0,4.0,2.0,2022,4,2,70270,850,71295,1,129,2015.0,1,253
26570181,26570181-001,00 000 1518,1,3,411.0,1,,"168,78",0.0,"0,00","0,00","0,00","31,82","14,26",22869,58.0,"168,15",8566.0,158.285,,,,2024,2,14,70271,423,71296,2,7993,2024.0,1,78
25074946,25074946-002,00 000 1357,0,2,389.0,4,,"273,89",0.0,"0,00","0,00","0,00","37,81","24,81",97702,42.0,"311,71",603.0,220.0,2024.0,2.0,2.0,2023,1,9,70270,3945,71295,1,8892,2021.0,1,242
24596424,24596424-002,00 000 6757,0,2,366.0,2,312.0,"203,76",0.0,"0,00","0,00","0,00","22,70","21,52",40589,45.0,"203,76",5.0,35.1,2025.0,1.0,1.0,2024,1,1,70270,1012,71296,2,2753,2018.0,1,1519
26235137,26235137-001,00 000 3614,1,2,661.0,2,,"863,43",1.0,"0,00","0,00","0,00","199,16","184,95",71691,19.0,"1.730,03",8566.0,194.0,,,,2023,6,9,70270,4801,71295,1,4976,2023.0,1,131
25003535,25003535-001,00 000 6177,1,3,663.0,2,,"36,72",1.0,"548,78","548,78","552,09","5,47","5,47",24783,56.0,"52,25",7593.0,111.991,,,,2023,6,7,70270,189,71295,1,8111,2023.0,1,1656
27277308,27277308-001,00 000 1369,1,3,14.0,4,,141.18,0.0,0,0,0,0.67,0.41,64380,44.0,"5,49",7593.0,93.0,,,,2025,3,17,70270,3678,71295,1,3655,2025.0,1,2170
26033962,26033962-009,00 000 6663,1,2,598.0,2,,"247,07",0.0,"0,00","0,00","0,00","45,13","42,23",26340,59.0,"395,12",1128.0,,,,,2023,8,11,70271,2469,71295,1,8573,2023.0,1,1421
26383833,26383833-001,00 000 1380,1,3,455.0,4,,"99,95",0.0,"0,00","0,00","0,00","13,46","9,26",90451,37.0,"119,04",1329.0,68.0,,,,2024,1,1,70270,1377,71296,2,2274,2024.0,1,559
27236907,27236907-001,12 277 8001,1,2,41.0,2,,419.97,0.0,0,0,0,5.74,5.57,63263,45.0,"50,16",603.0,210.0,,,,2025,2,18,70270,4397,71295,1,4495,2025.0,1,2144
24732883,24732883-004,00 000 1507,0,3,812.0,1,36.0,"33,93",1.0,"2.959,24","2.959,24","3.008,97","14,28","6,18",25421,43.0,"73,13",1431.0,,2024.0,4.0,18.0,2022,1,27,70271,215,71295,1,169,2018.0,1,3432
26050484,26050484-002,00 000 1516,0,2,218.0,1,36.0,"441,16",0.0,"0,00","0,00","0,00","15,97","7,49",25335,34.0,"90,70",999.0,180.0,2023.0,6.0,28.0,2022,11,22,70270,442,71295,1,289,2022.0,1,117
26598692,26598692-002,12 213 8001,1,3,0.0,2,,33.59,0.0,0,0,0,0.0,0.0,37136,64.0,"0,00",1.0,,,,,2025,4,5,70270,6540,71295,1,2593,2024.0,1,0
26144510,26144510-001,00 000 8444,0,2,686.0,2,36.0,"329,25",0.0,"0,00","0,00","0,00","72,04","65,82",68163,45.0,"617,44",1349.0,,2024.0,12.0,10.0,2023,1,24,70270,1195,71295,1,9208,2023.0,2,26
26471519,26471519-001,00 000 8042,1,3,455.0,2,,"228,48",1.0,"1.151,99","1.151,99","1.156,39","20,90","21,66",59439,53.0,"207,19",8566.0,119.086,,,,2024,1,1,70270,4234,71295,1,4311,2024.0,1,252
26442926,26442926-001,00 000 7741,1,3,455.0,2,,"190,01",0.0,"0,00","0,00","0,00","18,63","19,28",82399,57.0,"184,50",5.0,131.8,,,,2024,1,1,70270,4944,71296,2,13541,2024.0,1,207
26981060,26981060-001,00 000 8156,1,3,273.0,2,,"132,79",0.0,"0,00","0,00","0,00","10,02","10,44",76437,37.0,"99,60",1566.0,1.0,,,,2024,7,1,70270,1744,71296,2,1415,2024.0,1,3
27160795,27160795-001,00 000 1357,1,3,116.0,4,,"105,48",0.0,"0,00","0,00","0,00","4,07","2,58",32139,28.0,"33,99",7107.0,168.0,,,,2024,12,5,70270,1130,71295,1,757,2024.0,1,115
26467013,26467013-001,00 000 5392,1,3,486.0,2,,"23,73",0.0,"0,00","0,00","0,00","2,73","2,80",47475,65.0,"26,84",8260.0,149.0,,,,2023,12,1,70270,2564,71296,2,2316,2023.0,1,249
96296382,96296382-002,00 000 1362,1,2,455.0,4,,"260,62",0.0,"0,00","0,00","0,00","33,91","22,80",97892,78.0,"297,02",3001.0,210.0,,,,2024,1,1,70270,6033,71296,2,6209,2008.0,1,37
26458013,26458013-001,00 000 9240,0,2,69.0,2,36.0,"223,11",0.0,"0,00","0,00","0,00","4,76","4,52",47441,47.0,"42,76",8306.0,167.98,2024.0,3.0,10.0,2024,1,1,70270,1043,71296,2,11610,2024.0,1,336
27060257,27060257-001,00 000 1366,0,2,6.0,4,,"16,81",0.0,"0,00","0,00","0,00","1,86","1,30",96450,998.0,"16,81",588.0,,2024.0,10.0,10.0,2024,10,4,70270,2113,71295,1,1813,2024.0,1,784
26196077,26196077-001,00 000 4952,1,2,720.0,2,,"29,06",0.0,"0,00","0,00","0,00","5,86","5,44",52525,36.0,"50,77",9702.0,,,,,2023,4,11,70270,1374,71295,1,7926,2023.0,1,172
26574818,26574818-001,00 000 3351,1,1,406.0,2,,"404,05",0.0,"0,00","0,00","0,00","39,84","45,90",18109,25.0,"412,53",8004.0,11.194,,,,2024,2,19,70270,828,71296,2,588,2024.0,1,576
26388115,26388115-001,00 000 9240,1,2,455.0,2,,"88,91",0.0,"0,00","0,00","0,00","11,40","10,86",18276,58.0,"101,74",9891.0,196.5,,,,2024,1,1,70270,2199,71295,1,1061,2024.0,1,3557
25745718,25745718-001,00 000 7741,0,1,781.0,2,36.0,"412,64",0.0,"0,00","0,00","0,00","87,50","89,65",74348,998.0,"789,53",,68.0,2024.0,2.0,21.0,2022,1,1,70270,1628,71295,1,9969,2022.0,1,0
26486489,26486489-001,89 590 3001,0,2,344.0,2,36.0,"400,30",0.0,"0,00","0,00","0,00","41,99","39,81",83301,84.0,"376,95",35.0,50.6,2024.0,12.0,10.0,2024,1,1,70270,3855,71295,1,3863,2024.0,1,1280
25810178,25810178-001,00 000 1722,1,3,1.185,1,,"80,17",0.0,"0,00","0,00","0,00","39,05","17,12",25551,69.0,"202,27",2135.0,,,,,2022,1,1,70270,836,71295,1,10978,2022.0,1,1799
27166855,27166855-001,75 725 9001,1,2,89.0,2,,155.32,0.0,0,0,0,4.44,4.31,97348,58.0,"38,83",603.0,74.6,,,,2025,1,1,70270,2347,71295,1,9298,2025.0,1,382
25051613,25051613-002,12 358 5001,1,3,620.0,2,,"18,47",0.0,"0,00","0,00","0,00","2,55","2,54",84076,55.0,"24,37",2299.0,,,,,2023,7,20,70270,4861,71295,1,5044,2019.0,1,318
26256930,26256930-001,00 000 1380,1,1,613.0,4,,"474,52",0.0,"0,00","0,00","0,00","79,94","53,79",89134,26.0,"688,57",603.0,14.0,,,,2023,7,27,70270,4506,71295,1,10940,2023.0,1,1183
23879869,23879869-002,00 000 9240,1,1,437.0,2,,"436,89",0.0,"0,00","0,00","0,00","43,11","49,68",96185,46.0,"446,46",603.0,17.0,,,,2024,1,19,70270,3087,71295,1,2947,2012.0,1,382
26276555,26276555-001,00 000 5250,0,2,529.0,2,36.0,"526,46",0.0,"0,00","0,00","0,00","69,89","64,98",94351,82.0,"611,03",8566.0,50.0,2025.0,1.0,17.0,2023,8,7,70270,3735,71295,1,3721,2023.0,1,452
26074650,26074650-001,00 000 4927,0,3,292.0,2,40.0,"183,50",0.0,"0,00","0,00","0,00","16,70","15,54",99734,26.0,"146,80",7100.0,205.0,2023.0,9.0,17.0,2022,11,29,70270,1788,71295,1,1458,2022.0,1,1913
23336409,23336409-002,00 000 1711,1,2,423.0,1,,"224,54",0.0,"0,00","0,00","0,00","42,79","20,82",25358,48.0,"246,60",603.0,84.59,,,,2024,2,2,70270,153,71296,2,120,2001.0,1,306
27145773,27145773-001,00 000 8460,1,2,89.0,2,,152.73,0.0,0,0,0,4.37,4.24,85128,38.0,"38,18",7593.0,69.0,,,,2025,1,1,70270,2025,71296,2,1717,2025.0,1,988
25613060,25613060-002,00 000 4927,1,3,455.0,2,,"64,29",0.0,"0,00","0,00","0,00","6,98","7,21",74081,43.0,"69,06",5013.0,46.97,,,,2024,1,1,70270,1906,71295,1,5339,2021.0,1,50
25937648,25937648-001,00 000 7476,1,3,820.0,2,,"29,82",0.0,"0,00","0,00","0,00","6,68","6,53",44329,67.0,"62,25",9648.0,94.0,,,,2023,1,1,70270,900,71295,1,12824,2023.0,1,1218
27083961,27083961-001,00 000 7741,1,1,136.0,2,,"604,84",0.0,"0,00","0,00","0,00","23,66","28,54",88273,27.0,"252,64",5.0,100.0,,,,2024,11,15,70270,3309,71296,2,3227,2024.0,1,3143
26123955,26123955-001,00 000 1357,0,3,365.0,4,,"147,08",1.0,"79,73","79,73","79,73","18,47","12,09",74889,53.0,"152,37",1313.0,52.0,2024.0,2.0,3.0,2023,2,3,70270,3099,71295,1,2964,2023.0,1,512
25758550,25758550-002,00 000 2984,0,3,0.0,2,35.0,"155,34",0.0,"0,00","0,00","0,00","0,00","0,00",84424,35.0,"0,00",8004.0,170.0,2023.0,1.0,1.0,2023,1,1,70270,5833,71295,1,12605,2022.0,1,579
26084865,26084865-001,00 000 1357,1,2,820.0,4,,"188,12",0.0,"0,00","0,00","0,00","48,20","32,00",51469,28.0,"409,45",8566.0,166.601,,,,2023,1,1,70270,1999,71296,2,2084,2023.0,1,321
26017962,26017962-001,00 000 1936,1,2,820.0,1,,"338,56",1.0,"0,00","0,00","0,00","113,55","54,54",22946,86.0,"651,46",1313.0,184.5,,,,2023,1,1,70270,1151,71295,1,314,2023.0,1,278
26574162,26574162-001,00 000 3211,0,2,399.0,2,36.0,"628,15",0.0,"0,00","0,00","0,00","80,95","77,09",36251,19.0,"722,82",3001.0,108.0,2025.0,3.0,22.0,2024,2,17,70270,4327,71296,2,661,2024.0,1,370
26900727,26900727-001,00 000 9475,0,2,213.0,2,40.0,"1.045,14",0.0,"0,00","0,00","0,00","67,59","64,07",42859,26.0,"606,76",999.0,176.05,2024.0,11.0,23.0,2024,4,24,70270,1098,71296,2,10099,2024.0,1,1097
25996353,25996353-001,00 000 5159,1,2,887.0,2,,"568,96",0.0,"0,00","0,00","0,00","115,38","106,03",80933,49.0,"987,04",588.0,106.0,,,,2022,10,26,70270,1041,71295,1,10051,2022.0,1,1109
25790754,25790754-001,00 000 1357,0,2,0.0,4,,"325,00",0.0,"0,00","0,00","0,00","0,00","0,00",88410,26.0,"0,00",1313.0,178.0,2022.0,1.0,1.0,2022,1,1,70270,2289,71295,1,1993,2022.0,1,436
25366379,25366379-003,00 000 1383,1,2,242.0,4,,"400,38",0.0,"0,00","0,00","0,00","31,14","20,43",68161,89.0,"266,93",710.0,209.0,,,,2024,8,1,70270,1195,71296,2,9808,2020.0,1,860
26218546,26218546-001,00 000 8399,0,1,598.0,2,31.0,"988,26",2.0,"123,76","123,76","124,52","152,78","164,99",13055,31.0,"1.486,78",1480.0,,2025.0,1.0,1.0,2023,5,14,70270,572,71295,1,4344,2023.0,2,17
26005319,26005319-001,00 000 2117,1,1,820.0,1,,"171,18",0.0,"0,00","0,00","0,00","61,79","36,19",25917,35.0,"352,55",8566.0,130.5,,,,2023,1,1,70270,229,71296,2,135,2023.0,1,113
25636363,25636363-002,00 000 1357,0,2,0.0,4,,"426,40",0.0,"0,00","0,00","0,00","0,00","0,00",63179,29.0,"0,00",5048.0,112.0,2022.0,7.0,22.0,2022,7,22,70270,3274,71295,1,3182,2021.0,1,3510
24498177,24498177-003,00 000 2227,0,2,366.0,1,999.0,"39,30",0.0,"0,00","0,00","0,00","6,89","3,25",17419,45.0,"39,30",157.0,,2024.0,3.0,1.0,2023,3,1,70270,3020,71295,1,2864,2017.0,1,0
26891199,26891199-002,00 000 1357,1,2,0.0,4,,383.22,0.0,0,0,0,0.0,0.0,51702,35.0,"0,00",603.0,247.0,,,,2025,4,16,70270,4781,71295,1,4952,2024.0,1,2849
27121360,27121360-001,85 670 3829,1,3,132.0,2,,"49,99",0.0,"0,00","0,00","0,00","1,84","1,98",38442,49.0,"18,63",603.0,134.0,,,,2024,11,19,70270,522,71296,2,4139,2024.0,1,107
25073319,25073319-002,00 000 0905,0,2,365.0,1,999.0,"70,74",0.0,"0,00","0,00","0,00","12,28","5,98",23881,20.0,"70,74",23.0,,2025.0,3.0,1.0,2024,3,1,70270,524,71295,1,126,2019.0,1,0
26896571,26896571-001,00 000 1357,1,2,331.0,4,,"303,85",0.0,"0,00","0,00","0,00","31,85","21,23",81475,27.0,"276,88",8566.0,81.0,,,,2024,5,4,70270,1041,71295,1,11429,2024.0,1,1224
25804220,25804220-001,12 237 9279,0,1,668.0,2,998.0,"0,00",0.0,"0,00","0,00","0,00","105,27","107,25",60431,56.0,"940,47",5013.0,120.0,2023.0,10.0,31.0,2022,1,1,70270,1035,71295,1,9081,2022.0,1,2143
25417102,25417102-003,00 000 1383,1,3,476.0,4,,"95,55",0.0,"0,00","0,00","0,00","10,73","7,31",28870,35.0,"94,12",35.0,203.0,,,,2023,12,11,70270,2507,71295,1,2254,2018.0,1,2580
26466332,26466332-001,00 000 1362,0,1,82.0,4,,"304,50",0.0,"0,00","0,00","0,00","7,67","5,44",46049,71.0,"69,36",7102.0,93.0,2024.0,3.0,23.0,2024,1,1,70270,2434,71296,2,5702,2024.0,1,59
26070302,26070302-002,00 000 9221,1,2,820.0,2,,"23,30",1.0,"0,00","0,00","0,00","5,44","5,01",94315,60.0,"46,81",9227.0,,,,,2023,1,1,70270,1716,71296,2,1380,2023.0,1,105
22955891,22955891-012,00 000 1728,1,3,964.0,1,,"20,77",0.0,"0,00","0,00","0,00","8,51","3,73",25548,56.0,"44,26",547.0,,,,,2022,8,10,70271,734,71295,1,10418,2001.0,1,1350
